tdata#1.val,tdata#0.val,tdata#2.val,tdata#3.val
00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000
00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000010,00000000000000000000000000000000
00000000000000000000000000000001,00000000000000000000000000000000,00000000000000000000000000000010,00000000000000000000000000000010
00000000000000000000000000000010,00000000000000000000000000000010,00000000000000000000000000000010,00000000000000000000000000000010
00000000000000000000000000000011,00000000000000000000000000000100,00000000000000000000000000000100,00000000000000000000000000000100
00000000000000000000000000000100,00000000000000000000000000000110,00000000000000000000000000000110,00000000000000000000000000001000
00000000000000000000000000000101,00000000000000000000000000001000,00000000000000000000000000001000,00000000000000000000000000001100
00000000000000000000000000000110,00000000000000000000000000001010,00000000000000000000000000001010,00000000000000000000000000010000
00000000000000000000000000000111,00000000000000000000000000001100,00000000000000000000000000001100,00000000000000000000000000010100
00000000000000000000000000001000,00000000000000000000000000001110,00000000000000000000000000001110,00000000000000000000000000011000
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010000,00000000000000000000000000011100
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010010,00000000000000000000000000100000
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010010,00000000000000000000000000100010
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010010,00000000000000000000000000100010
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010010,00000000000000000000000000100010
00000000000000000000000000001000,00000000000000000000000000010000,00000000000000000000000000010010,00000000000000000000000000100010
